T,mape
0.0465444191188046,3.19042323136189
0.0520202331327816,2.42637800945266
0.0574960471467587,2.46745498795076
0.0657097681677242,0.95150233900367
0.0711855821817012,0.802714080463398
0.0766613961956782,1.96604541182458
0.0848751172166437,0.774238179688128
0.0958267452445978,0.847902673589217
0.114992094293517,0.817813037549329
0.134157443342437,1.38213243792156
0.153322792391356,0.603384417356461
0.16427442041931,0.580890633003194
0.210818839538115,1.23213717628655
0.246411630628966,0.887365275730736
0.287480235733793,1.14132766639678
0.325810933831632,1.21358283381313
0.383306980978391,1.38285336438672
0.416161865062253,0.812141177893805
0.459968377174069,1.88666436009449
0.498299075271908,2.05553576580818
0.555795122418667,1.37216871769911
0.632456518614345,1.78836324747153
0.709117914810024,2.39088107350095
0.747448612907863,1.84735093716152
0.804944660054621,2.14413704532941
0.881606056250299,4.1243772967403
0.958267452445978,1.51177751370733
0.996598150543817,1.03415610947836
1.05409419769058,1.41739387543654
