T,mape
0.0465444191188046,3.74329845760281
0.0520202331327816,2.9739612284399
0.0574960471467587,2.66990356632832
0.0657097681677242,1.30721157219116
0.0711855821817012,1.07560019093179
0.0766613961956782,1.91272591887859
0.0848751172166437,0.730603118296375
0.0958267452445978,0.903366689334042
0.114992094293517,0.913639867216091
0.134157443342437,1.36610181111413
0.153322792391356,0.614479251637225
0.16427442041931,0.664316135985383
0.210818839538115,1.20845263908368
0.246411630628966,0.888163361284986
0.287480235733793,1.14619711991351
0.325810933831632,1.22160816924537
0.383306980978391,1.37091992648067
0.416161865062253,0.761331730133076
0.459968377174069,1.80600211968395
0.498299075271908,2.00252157628955
0.555795122418667,1.17526565357226
0.632456518614345,1.63001764964902
0.709117914810024,2.14997118525547
0.747448612907863,1.75072338317244
0.804944660054621,1.81199717309728
0.881606056250299,4.42927344818207
0.958267452445978,1.51788549897766
0.996598150543817,0.795942088032267
1.05409419769058,1.3080625780123
