T,mape
0.0465444191188046,3.78942134613289
0.0520202331327816,3.00493863336902
0.0574960471467587,2.67976801213473
0.0657097681677242,1.31812687998684
0.0711855821817012,1.08061194349266
0.0766613961956782,1.91212227480626
0.0848751172166437,0.728883310973771
0.0958267452445978,0.897641777750416
0.114992094293517,0.905353033208669
0.134157443342437,1.36117535205589
0.153322792391356,0.609214075771038
0.16427442041931,0.657988379789311
0.210818839538115,1.20800254267596
0.246411630628966,0.888612518518552
0.287480235733793,1.1455021404589
0.325810933831632,1.21961471686507
0.383306980978391,1.37347259731677
0.416161865062253,0.767233097576453
0.459968377174069,1.8127707533265
0.498299075271908,2.00637426008951
0.555795122418667,1.18389274312577
0.632456518614345,1.63141553240924
0.709117914810024,2.14668206685071
0.747448612907863,1.75213147725726
0.804944660054621,1.79782974916991
0.881606056250299,4.45462189963881
0.958267452445978,1.52366064958209
0.996598150543817,0.774035767834311
1.05409419769058,1.29546670872853
