T,mape
0.0465444191188046,16.8669371250634
0.0520202331327816,17.9491221739634
0.0574960471467587,22.3539478682392
0.0657097681677242,15.6551419868019
0.0711855821817012,15.8004499931637
0.0766613961956782,25.1200804808247
0.0848751172166437,16.0456829350994
0.0958267452445978,23.2782680711271
0.114992094293517,19.9083628962754
0.134157443342437,26.1440779345477
0.153322792391356,22.1186188183243
0.16427442041931,24.9066745459935
0.210818839538115,25.3082502961412
0.246411630628966,25.4232375470835
0.287480235733793,23.4414971157392
0.325810933831632,17.7821729555181
0.383306980978391,21.0108758012167
0.416161865062253,15.7531113841189
0.459968377174069,26.3391747362306
0.498299075271908,22.4152590803558
0.555795122418667,18.7238536952338
0.632456518614345,19.0149187912765
0.709117914810024,21.8900006324805
0.747448612907863,19.608341790865
0.804944660054621,20.268241631366
0.881606056250299,21.6863763481929
0.958267452445978,15.8185877480885
0.996598150543817,12.3165347649897
1.05409419769058,7.3367879394907
